id,book_number,book_title,published_date,author_id
,B0028QG7B0,COAL & COCA-COLA: Small Town USA 1949 (Short True Story w/Photos),,
,B002AKPEGI,Vegan Brunch: Homestyle Recipes Worth Waking Up For-From Asparagus Omelets to Pumpkin Pancakes,,
,B002AP9G94,Authentic Mexican: Regional Cooking from the Heart of Mexico,,
,B002ASFPYQ,Grammar Girl's Quick and Dirty Tips for Better Writing (Quick & Dirty Tips),,
,B002BU24U6,The Ultimate Rice Cooker Cookbook,,
,B002C949KE,"Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions",,
,B002CQ28MI,"Don't Judge a Girl by Her Cover (Gallagher Girls, Book 3)",,
,B002CQ28MS,Cross My Heart and Hope to Spy (Gallagher Girls Book 2),,
,B002DOSBJS,The Adventurous Boy's Handbook: For Ages 9 to 99,,
,B002EF2AJS,Mark Bittman's Kitchen Express: 404 inspired seasonal dishes you can make in 20 minutes or less,,
,B002EF2AL6,Timeless Healing: The Power and Biology of Belief,,
,B002FDLO64,A Taste of Magic (Magic Series Book 1),,
,B002FOT51Y,Practice Makes Perfect German Sentence Builder (Practice Makes Perfect Series),,
,B002GUK7M8,Model Spy (The Specialists Book 1),,
,B002IPZKDW,"Change-Up: Mystery at the World Series (The Sports Beat, 4)",,
,B002IUZLXQ,"The Joy of Jams, Jellies, and Other Sweet Preserves: 200 Classic and Contemporary Recipes Showcasing the Fabulous Flavors of Fresh Fruits",,
,B002JF1MAG,Simply Salads: More than 100 Creative Recipes You Can Make in Minutes from Prepackaged Greens,,
,B002KYHZCA,How to Start a Home-Based Jewelry Making Business: *Turn your passion into profit *Develop a smart business plan *Set market-appropriate prices ... on the Internet (Home-Based Business Series),,
,B002L4F486,"The Potluck Club (The Potluck Club, Book 1)",,
,B002LE87RQ,"Fools Rush In (Weddings by Bella, Book 1)",,
,B002MH4K00,Hike Your Own Hike: 7 Life Lessons from Backpacking Across America (WanderLearn Series Book 1),,
,B002NC733K,"The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup, and a Spool of Thread",,
,B002NKLNJ2,Know Regrets,,
,B002PEP4U0,The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope (P.S.),,
,B002PYFWCK,Facing the Lion: Growing Up Maasai on the African Savanna (Biography),,
,B002Q0W8IY,A Promise to Remember,,
,B002Q181ZW,The Nonrunner's Marathon Guide for Women: Get Off Your Butt and On with Your Training,,
,B002RHI2J0,Math for Moms and Dads: A dictionary of terms and concepts...just for parents,,
,B002RHOU50,The Idiot (Elrond Approved Kindle Classics),,
,B002RHP4ZA,"Knots, Splices and Rope Work- ILLUSTRATED-",,
,B002RKSW9C,Food Remedies Facts About Foods And Their Medicinal Uses,,
,B002RKT60Q,"Gardening Without Irrigation: or without much, anyway",,
,B002RKTKQQ,The Library of Work and Play: Gardening and Farming.,,
,B002SR2Q9Q,The Dumpling: A Seasonal Guide,,
,B002SS58RW,Emeril 20-40-60: Fresh Food Fast (Emeril's),,
,B002STNBFM,"The Clutter-Busting Handbook: Clean It Up, Clear It Out, and Keep Your Life Clutter-Free",,
,B002SVQCY2,Think Big: Unleashing Your Potential for Excellence,,
,B002TVSF5K,Real Food: What to Eat and Why,,
,B002UQHYMO,Flying Home,,
,B002VL1CAS,Winter Fire,,
,B002VL1CPS,Snow Queen,,
,B002VM7FR6,By Morning Light,,
,B00310QLEK,Thicker than Blood,,
,B00333FGP0,Chasing Yesterday,,
,B00338QF28,New World Kitchen: Latin American and Caribbean Cuisine,,
,B00338QF46,A People's History of the United States (Modern Classics),,
,B00348UNBG,1000 Best Quick and Easy Organizing Secrets,,
,B0035D9UWS,Career GPS: Strategies for Women Navigating the New Corporate Landscape,,
,B0037QH0C0,"Power of Vitamin D: A Vitamin D Book That Contains The Most Scientific, Useful And Practical Information About Vitamin D - Hormone D",,
,B0039GL28Q,"Canned Fruit, Preserves, and Jellies: Household Methods of Preparation U.S. Department of Agriculture Farmers' Bulletin No. 203",,
,B003D20RUA,Words That Matter: A Little Book of Life Lessons,,
,B003D3N2AQ,"Run Like a Mother: How to Get Moving--and Not Lose Your Family, Job, or Sanity",,
,B003DRO5J4,The Remarkable Soul of a Woman,,
,B003E6M6X6,A Funny Thing Happened on the Way to the Future: Twists and Turns and Lessons Learned,,
,B003E7FDJ4,The Mafia Princess Diaries,,
,B003EJDGB4,"The Berry Bible: With 175 Recipes Using Cultivated and Wild, Fresh and Frozen Berries",,
,B003ELPRFK,The Porridge Book,,
,B003EQ4KXA,The Homecoming: A Novel (The Homefront Series),,
,B003EVJKFS,Imprints,,
,B003G83UI2,Fast Food Nation: The Dark Side of the All-American Meal,,
,B003GDJQEY,The Mother's Day Companion,,
,B003GFIW38,"The Council of Dads: My Daughters, My Illness, and the Men Who Could Be Me",,
,B003HOXLHA,The Simple Dollar: How One Man Wiped Out His Debts and Achieved the Life of His Dreams,,
,B003IEJZRY,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,,
,B003IV8GTA,Heirloom Beans: Recipes from Rancho Gordo,,
,B003JBHVX6,"Annie's Baby: The Diary of Anonymous, a Pregnant Teenager (Anonymous Diaries)",,
,B003JMFKRE,AWOL on the Appalachian Trail,,
,B003JQLEM0,Everyday Wisdom For Success,,
,B003L786YQ,Relaxation Revolution: The Science and Genetics of Mind Body Healing,,
,B003LBRIYQ,Mama's Country Cooking (Easy Country Recipes),,
,B003LN2BOG,A Dog Named Slugger,,
,B003LSTAE0,I Am Hutterite: The Fascinating True Story of a Young Woman's Journey to Reclaim Her Heritage,,
,B003LSTAJA,Why Do I Still Have Thyroid Symptoms? When My Lab Tests Are Normal: A Revolutionary Breakthrough In Understanding Hashimoto's Disease and Hypothyroidism,,
,B003M69DCK,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,,
,B003MC5N28,"The Giver (Giver Quartet, Book 1)",,
,B003MZ057S,Ageless Memory: The Memory Expert's Prescription for a Razor-Sharp Mind,,
,B003O2SGOI,Kanzashi Tutorial - How to Make a Kanzashi Fabric Flower,,
,B003PGQK4Q,The Backyard Homestead: Produce all the food you need on just a quarter acre!,,
,B003PGQK50,"Homegrown Whole Grains: Grow, Harvest, and Cook Wheat, Barley, Oats, Rice, Corn and More",,
,B003Q6CU8U,"Veggie Burgers Every Which Way: Fresh, Flavorful and Healthy Vegan and Vegetarian Burgersâ€”Plus Toppings, Sides, Buns and More",,
,B003QXMYOI,10 Secrets for Success and Inner Peace (Puffy Books),,
,B003RISLMG,KILLING CANCER,,
,B003S9W8VE,Edible Wild Plants,,
,B003UBAWYK,Sweetness: Delicious Baked Treats for Every Occasion,,
,B003UBAX62,"The Food Allergy Mama's Baking Book: Great Dairy-, Egg-, and Nut-Free Treats for the Whole Family",,
,B003UYUU2Q,Italian Grill,,
,B003V1WTOA,The Shun Lee Cookbook: Recipes from a Chinese Restaurant Dynasty,,
,B003VIWNJO,Tea and Cookies: Enjoy the Perfect Cup of Tea--with Dozens of Delectable Recipes for Teatime Treats,,
,B003VIWRM2,My Spiritual Journey,,
,B003VIWTYI,"Networking for People Who Hate Networking: A Field Guide for Introverts, the Overwhelmed, and the Underconnected",,
,B003WJR5YU,Wilderness Survival Handbook: Primitive Skills for Short-Term Survival and Long-Term Comfort,,
,B003WJRONW,Stalina,,
,B003WOL56O,"Raw Energy: 124 Raw Food Recipes for Energy Bars, Smoothies, and Other Snacks to Supercharge Your Body",,
,B003WUYQ1E,"Hello, Cupcake!",,
,B003WUYRJ0,"15 Minute Everyday Pilates: Up, Up & Away",,
,B003XF1LHA,Saltwater Buddha: A Surfer's Quest to Find Zen on the Sea,,
,B003XRE6F2,The Frog Prince (A Romantic Comedy),,
,B003Y8XMVO,Gifts from the Grandmothers: Traditional Recipes,,
,B003YRIWMO,On Bear Mountain,,
,B003Z0BJGQ,Syndrome W: A Woman's Guide to Reversing Midlife Weight Gain,,
,B003Z9JICY,"Put 'em Up!: A Comprehensive Home Preserving Guide for the Creative Cook, from Drying and Freezing to Canning and Pickling",,
,B003ZDP194,Foreclosed: A Mitzy Neuhaus Mystery,,
,B003ZYF7U6,Cat Cora's Classics with a Twist: Fresh Takes on Favorite Dishes,,
,B003ZYFASA,Recipes from the Root Cellar: 270 Fresh Ways to Enjoy Winter Vegetables,,
,B00400MQYY,Facebook Fairytales: Modern-Day Miracles to Inspire the Human Spirit,,
,B0041KKLNQ,"SMART SCHOOL TIME RECIPES: The Breakfast, Snack, and Lunchbox Cookbook for Healthy Kids and Adults",,
,B0041KLCH0,"Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School",,
,B0041VXUME,How to Search for Your Ancestors and Climb Your Family Tree,,
,B0042JSQ1A,Change Your Life!: A Little Book of Big Ideas,,
,B0042X9QPG,Gluten-Free Baking Classics,,
,B0042XA2Y0,CK-12 Calculus,,
,B0042XA2Z4,CK-12 Geometry,,
,B0042XA30S,CK-12 Earth Science Honors For Middle School,,
,B0042XA32G,CK-12 Trigonometry,,
,B0042XA33K,CK-12 Life Science Honors For Middle School,,
,B0042XA34O,CK-12 Chemistry,,
